          team_name           |  season   | matches_played | wins | draws | losses | goals_for | goals_against | goal_difference 
 Lazio                        | 2014/2015 |             37 |   20 |     6 |     11 |        67 |            36 |              31
 Lazio                        | 2015/2016 |             38 |   15 |     9 |     14 |        52 |            52 |               0
 Le Havre AC                  | 2008/2009 |             38 |    7 |     5 |     26 |        30 |            67 |             -37
 Le Mans FC                   | 2008/2009 |             38 |   10 |    10 |     18 |        43 |            54 |             -11
 Le Mans FC                   | 2009/2010 |             38 |    8 |     8 |     22 |        36 |            59 |             -23
 Lecce                        | 2008/2009 |             38 |    5 |    15 |     18 |        37 |            67 |             -30
 Lecce                        | 2010/2011 |             38 |   11 |     8 |     19 |        46 |            66 |             -20
 Lecce                        | 2011/2012 |             35 |    8 |    10 |     17 |        38 |            52 |             -14
 Lech Poznań                  | 2008/2009 |             30 |   16 |    11 |      3 |        51 |            24 |              27
 Lech Poznań                  | 2009/2010 |             30 |   19 |     8 |      3 |        51 |            20 |              31
 Lech Poznań                  | 2010/2011 |             30 |   13 |     6 |     11 |        37 |            23 |              14
 Lech Poznań                  | 2011/2012 |             30 |   15 |     7 |      8 |        42 |            22 |              20
 Lech Poznań                  | 2012/2013 |             30 |   19 |     4 |      7 |        46 |            22 |              24
 Lech Poznań                  | 2013/2014 |             30 |   15 |     8 |      7 |        56 |            34 |              22
 Lech Poznań                  | 2014/2015 |             30 |   14 |    12 |      4 |        52 |            27 |              25
 Lech Poznań                  | 2015/2016 |             30 |   13 |     4 |     13 |        37 |            38 |              -1
 Lechia Gdańsk                | 2008/2009 |             30 |    9 |     5 |     16 |        30 |            44 |             -14
 Lechia Gdańsk                | 2009/2010 |             30 |    9 |    10 |     11 |        30 |            32 |              -2
 Lechia Gdańsk                | 2010/2011 |             30 |   12 |     7 |     11 |        37 |            36 |               1
 Lechia Gdańsk                | 2011/2012 |             30 |    7 |    10 |     13 |        21 |            30 |              -9
 Lechia Gdańsk                | 2012/2013 |             30 |   10 |     8 |     12 |        42 |            43 |              -1
 Lechia Gdańsk                | 2013/2014 |             30 |   10 |    10 |     10 |        38 |            37 |               1
 Lechia Gdańsk                | 2014/2015 |             30 |   11 |     8 |     11 |        36 |            37 |              -1
 Lechia Gdańsk                | 2015/2016 |             30 |   10 |     9 |     11 |        45 |            37 |               8
 Legia Warszawa               | 2008/2009 |             30 |   18 |     7 |      5 |        52 |            17 |              35
 Legia Warszawa               | 2009/2010 |             30 |   15 |     7 |      8 |        36 |            22 |              14
 Legia Warszawa               | 2010/2011 |             30 |   15 |     4 |     11 |        45 |            38 |               7
 Legia Warszawa               | 2011/2012 |             30 |   15 |     8 |      7 |        42 |            17 |              25
 Legia Warszawa               | 2012/2013 |             30 |   20 |     7 |      3 |        59 |            22 |              37
 Legia Warszawa               | 2013/2014 |             30 |   20 |     3 |      7 |        60 |            30 |              30
 Legia Warszawa               | 2014/2015 |             30 |   17 |     5 |      8 |        57 |            30 |              27
 Legia Warszawa               | 2015/2016 |             30 |   17 |     9 |      4 |        58 |            28 |              30
 Leicester City               | 2014/2015 |             38 |   11 |     8 |     19 |        46 |            55 |              -9
 Leicester City               | 2015/2016 |             38 |   23 |    12 |      3 |        68 |            36 |              32
 Leixões SC                   | 2008/2009 |             30 |   12 |     9 |      9 |        30 |            31 |              -1
 Leixões SC                   | 2009/2010 |             30 |    5 |     6 |     19 |        25 |            51 |             -26
 Levante UD                   | 2010/2011 |             38 |   12 |     9 |     17 |        41 |            52 |             -11
 Levante UD                   | 2011/2012 |             38 |   16 |     7 |     15 |        54 |            50 |               4
 Levante UD                   | 2012/2013 |             38 |   12 |    10 |     16 |        40 |            57 |             -17
 Levante UD                   | 2013/2014 |             38 |   12 |    12 |     14 |        35 |            43 |              -8
 Levante UD                   | 2014/2015 |             38 |    9 |    10 |     19 |        34 |            67 |             -33
 Levante UD                   | 2015/2016 |             38 |    8 |     8 |     22 |        37 |            70 |             -33
 Lierse SK                    | 2010/2011 |             30 |    4 |    12 |     14 |        26 |            58 |             -32
 Lierse SK                    | 2011/2012 |             30 |    6 |    13 |     11 |        24 |            36 |             -12
 Lierse SK                    | 2012/2013 |             30 |    5 |    11 |     14 |        28 |            53 |             -25
 Lierse SK                    | 2013/2014 |              6 |    2 |     0 |      4 |         5 |            12 |              -7
 Lierse SK                    | 2014/2015 |             30 |    5 |     7 |     18 |        30 |            63 |             -33
 Liverpool                    | 2008/2009 |             38 |   25 |    11 |      2 |        77 |            27 |              50
 Liverpool                    | 2009/2010 |             38 |   18 |     9 |     11 |        61 |            35 |              26
 Liverpool                    | 2010/2011 |             38 |   17 |     7 |     14 |        59 |            44 |              15
 Liverpool                    | 2011/2012 |             38 |   14 |    10 |     14 |        47 |            40 |               7
 Liverpool                    | 2012/2013 |             38 |   16 |    13 |      9 |        71 |            43 |              28
 Liverpool                    | 2013/2014 |             38 |   26 |     6 |      6 |       101 |            50 |              51
 Liverpool                    | 2014/2015 |             38 |   18 |     8 |     12 |        52 |            48 |               4
 Liverpool                    | 2015/2016 |             38 |   16 |    12 |     10 |        63 |            50 |              13
 Livorno                      | 2009/2010 |             38 |    7 |     8 |     23 |        27 |            61 |             -34
 Livorno                      | 2013/2014 |             38 |    6 |     7 |     25 |        39 |            77 |             -38
 LOSC Lille                   | 2008/2009 |             38 |   17 |    13 |      8 |        51 |            39 |              12
 LOSC Lille                   | 2009/2010 |             38 |   21 |     7 |     10 |        72 |            40 |              32
 LOSC Lille                   | 2010/2011 |             38 |   21 |    13 |      4 |        68 |            36 |              32
 LOSC Lille                   | 2011/2012 |             38 |   21 |    11 |      6 |        72 |            39 |              33
 LOSC Lille                   | 2012/2013 |             38 |   16 |    14 |      8 |        59 |            40 |              19
 LOSC Lille                   | 2013/2014 |             38 |   20 |    11 |      7 |        46 |            26 |              20
 LOSC Lille                   | 2014/2015 |             38 |   16 |     8 |     14 |        43 |            42 |               1
 LOSC Lille                   | 2015/2016 |             38 |   15 |    15 |      8 |        39 |            27 |              12
 Lugano                       | 2015/2016 |             36 |    9 |     8 |     19 |        46 |            75 |             -29
 Málaga CF                    | 2008/2009 |             38 |   15 |    10 |     13 |        55 |            59 |              -4
 Málaga CF                    | 2009/2010 |             38 |    7 |    16 |     15 |        42 |            48 |              -6
 Málaga CF                    | 2010/2011 |             38 |   13 |     7 |     18 |        54 |            68 |             -14
 Málaga CF                    | 2011/2012 |             38 |   17 |     7 |     14 |        54 |            53 |               1
 Málaga CF                    | 2012/2013 |             38 |   16 |     9 |     13 |        53 |            50 |               3
 Málaga CF                    | 2013/2014 |             38 |   12 |     9 |     17 |        39 |            46 |              -7
 Málaga CF                    | 2014/2015 |             38 |   14 |     8 |     16 |        42 |            48 |              -6
 Málaga CF                    | 2015/2016 |             38 |   12 |    12 |     14 |        38 |            35 |               3
 Manchester City              | 2008/2009 |             38 |   15 |     5 |     18 |        58 |            50 |               8
 Manchester City              | 2009/2010 |             38 |   18 |    13 |      7 |        73 |            45 |              28
 Manchester City              | 2010/2011 |             38 |   21 |     8 |      9 |        60 |            33 |              27
 Manchester City              | 2011/2012 |             38 |   28 |     5 |      5 |        93 |            29 |              64
 Manchester City              | 2012/2013 |             38 |   23 |     9 |      6 |        66 |            34 |              32
 Manchester City              | 2013/2014 |             38 |   27 |     5 |      6 |       102 |            37 |              65
 Manchester City              | 2014/2015 |             38 |   24 |     7 |      7 |        83 |            38 |              45
 Manchester City              | 2015/2016 |             38 |   19 |     9 |     10 |        71 |            41 |              30
 Manchester United            | 2008/2009 |             38 |   28 |     6 |      4 |        68 |            24 |              44
 Manchester United            | 2009/2010 |             38 |   27 |     4 |      7 |        86 |            28 |              58
 Manchester United            | 2010/2011 |             38 |   23 |    11 |      4 |        78 |            37 |              41
 Manchester United            | 2011/2012 |             38 |   28 |     5 |      5 |        89 |            33 |              56
 Manchester United            | 2012/2013 |             38 |   28 |     5 |      5 |        86 |            43 |              43
 Manchester United            | 2013/2014 |             38 |   19 |     7 |     12 |        64 |            43 |              21
 Manchester United            | 2014/2015 |             38 |   20 |    10 |      8 |        62 |            37 |              25
 Manchester United            | 2015/2016 |             38 |   19 |     9 |     10 |        49 |            35 |              14
 Middlesbrough                | 2008/2009 |             38 |    7 |    11 |     20 |        28 |            57 |             -29
 Milan                        | 2008/2009 |             38 |   22 |     8 |      8 |        70 |            35 |              35
 Milan                        | 2009/2010 |             38 |   20 |    10 |      8 |        60 |            39 |              21
 Milan                        | 2010/2011 |             38 |   24 |    10 |      4 |        65 |            24 |              41
 Milan                        | 2011/2012 |             37 |   23 |     8 |      6 |        72 |            33 |              39
 Milan                        | 2012/2013 |             38 |   21 |     9 |      8 |        67 |            39 |              28
 Milan                        | 2013/2014 |             38 |   16 |     9 |     13 |        57 |            49 |               8
 Milan                        | 2014/2015 |             38 |   13 |    13 |     12 |        56 |            50 |               6
 Milan                        | 2015/2016 |             38 |   15 |    12 |     11 |        49 |            43 |               6
 Montpellier Hérault SC       | 2009/2010 |             38 |   20 |     9 |      9 |        50 |            40 |              10
 Montpellier Hérault SC       | 2010/2011 |             38 |   12 |    11 |     15 |        32 |            43 |             -11
 Montpellier Hérault SC       | 2011/2012 |             38 |   25 |     7 |      6 |        68 |            34 |              34
 Montpellier Hérault SC       | 2012/2013 |             38 |   15 |     7 |     16 |        54 |            51 |               3
 Montpellier Hérault SC       | 2013/2014 |             38 |    8 |    18 |     12 |        45 |            53 |              -8
 Montpellier Hérault SC       | 2014/2015 |             38 |   16 |     8 |     14 |        46 |            39 |               7
 Montpellier Hérault SC       | 2015/2016 |             38 |   14 |     7 |     17 |        49 |            47 |               2
 Moreirense FC                | 2012/2013 |             30 |    5 |     9 |     16 |        30 |            51 |             -21
 Moreirense FC                | 2014/2015 |             34 |   11 |    10 |     13 |        33 |            42 |              -9
 Moreirense FC                | 2015/2016 |             34 |    9 |     9 |     16 |        38 |            54 |             -16
 Motherwell                   | 2008/2009 |             38 |   13 |     9 |     16 |        46 |            51 |              -5
 Motherwell                   | 2009/2010 |             38 |   13 |    14 |     11 |        52 |            54 |              -2
 Motherwell                   | 2010/2011 |             38 |   13 |     7 |     18 |        40 |            60 |             -20
 Motherwell                   | 2011/2012 |             38 |   18 |     8 |     12 |        49 |            44 |               5
 Motherwell                   | 2012/2013 |             38 |   18 |     9 |     11 |        67 |            51 |              16
 Motherwell                   | 2013/2014 |             38 |   22 |     4 |     12 |        64 |            60 |               4
 Motherwell                   | 2014/2015 |             38 |   10 |     6 |     22 |        38 |            63 |             -25
 Motherwell                   | 2015/2016 |             38 |   15 |     5 |     18 |        47 |            63 |             -16
 N.E.C.                       | 2008/2009 |             34 |    9 |    15 |     10 |        41 |            40 |               1
 N.E.C.                       | 2009/2010 |             34 |    8 |     9 |     17 |        35 |            59 |             -24
 N.E.C.                       | 2010/2011 |             34 |   10 |    13 |     11 |        57 |            56 |               1
 N.E.C.                       | 2011/2012 |             34 |   13 |     6 |     15 |        42 |            45 |              -3
 N.E.C.                       | 2012/2013 |             34 |   10 |     7 |     17 |        44 |            66 |             -22
 N.E.C.                       | 2013/2014 |             34 |    5 |    15 |     14 |        54 |            82 |             -28
 N.E.C.                       | 2015/2016 |             34 |   13 |     7 |     14 |        37 |            42 |              -5
 NAC Breda                    | 2008/2009 |             34 |   13 |     6 |     15 |        44 |            54 |             -10
 NAC Breda                    | 2009/2010 |             34 |   12 |    10 |     12 |        42 |            49 |              -7
 NAC Breda                    | 2010/2011 |             34 |   12 |     5 |     17 |        44 |            60 |             -16
 NAC Breda                    | 2011/2012 |             34 |   10 |     8 |     16 |        45 |            54 |              -9
 NAC Breda                    | 2012/2013 |             34 |   10 |     8 |     16 |        40 |            56 |             -16
 NAC Breda                    | 2013/2014 |             34 |    8 |    11 |     15 |        43 |            54 |             -11
 NAC Breda                    | 2014/2015 |             34 |    6 |    10 |     18 |        36 |            68 |             -32
 Napoli                       | 2008/2009 |             38 |   12 |    10 |     16 |        43 |            45 |              -2
 Napoli                       | 2009/2010 |             38 |   15 |    14 |      9 |        50 |            43 |               7
 Napoli                       | 2010/2011 |             38 |   21 |     7 |     10 |        59 |            39 |              20
 Napoli                       | 2011/2012 |             36 |   16 |    12 |      8 |        64 |            41 |              23
 Napoli                       | 2012/2013 |             38 |   23 |     9 |      6 |        73 |            36 |              37
 Napoli                       | 2013/2014 |             38 |   23 |     9 |      6 |        77 |            39 |              38
 Napoli                       | 2014/2015 |             37 |   18 |     9 |     10 |        68 |            50 |              18
 Napoli                       | 2015/2016 |             38 |   25 |     7 |      6 |        80 |            32 |              48
 Naval 1° de Maio             | 2008/2009 |             30 |    7 |     8 |     15 |        25 |            39 |             -14
 Naval 1° de Maio             | 2009/2010 |             30 |   10 |     6 |     14 |        20 |            35 |             -15
 Naval 1° de Maio             | 2010/2011 |             30 |    5 |     8 |     17 |        26 |            51 |             -25
 Neuchâtel Xamax              | 2008/2009 |             36 |   10 |    10 |     16 |        50 |            57 |              -7
 Neuchâtel Xamax              | 2009/2010 |             36 |   11 |     8 |     17 |        55 |            57 |              -2
 Neuchâtel Xamax              | 2010/2011 |             36 |    8 |     8 |     20 |        44 |            67 |             -23
 Neuchâtel Xamax              | 2011/2012 |             18 |    7 |     5 |      6 |        22 |            22 |               0
 Newcastle United             | 2008/2009 |             38 |    7 |    13 |     18 |        40 |            59 |             -19
 Newcastle United             | 2010/2011 |             38 |   11 |    13 |     14 |        56 |            57 |              -1
 Newcastle United             | 2011/2012 |             38 |   19 |     8 |     11 |        56 |            51 |               5
 Newcastle United             | 2012/2013 |             38 |   11 |     8 |     19 |        45 |            68 |             -23
 Newcastle United             | 2013/2014 |             38 |   15 |     4 |     19 |        43 |            59 |             -16
 Newcastle United             | 2014/2015 |             38 |   10 |     9 |     19 |        40 |            63 |             -23
 Newcastle United             | 2015/2016 |             38 |    9 |    10 |     19 |        44 |            65 |             -21
 Norwich City                 | 2011/2012 |             38 |   12 |    11 |     15 |        52 |            66 |             -14
 Norwich City                 | 2012/2013 |             38 |   10 |    14 |     14 |        41 |            58 |             -17
 Norwich City                 | 2013/2014 |             38 |    8 |     9 |     21 |        28 |            62 |             -34
 Norwich City                 | 2015/2016 |             38 |    9 |     7 |     22 |        39 |            67 |             -28
 Novara                       | 2011/2012 |             36 |    6 |    11 |     19 |        34 |            64 |             -30
 Odra Wodzisław               | 2008/2009 |             30 |    8 |     8 |     14 |        23 |            40 |             -17
 Odra Wodzisław               | 2009/2010 |             30 |    7 |     6 |     17 |        27 |            45 |             -18
 OGC Nice                     | 2008/2009 |             38 |   13 |    11 |     14 |        40 |            41 |              -1
 OGC Nice                     | 2009/2010 |             38 |   11 |    11 |     16 |        41 |            57 |             -16
 OGC Nice                     | 2010/2011 |             38 |   11 |    13 |     14 |        33 |            48 |             -15
 OGC Nice                     | 2011/2012 |             38 |   10 |    12 |     16 |        39 |            46 |              -7
 OGC Nice                     | 2012/2013 |             38 |   18 |    10 |     10 |        57 |            46 |              11
 OGC Nice                     | 2013/2014 |             38 |   12 |     6 |     20 |        30 |            44 |             -14
 OGC Nice                     | 2014/2015 |             38 |   13 |     9 |     16 |        44 |            53 |              -9
 OGC Nice                     | 2015/2016 |             38 |   18 |     9 |     11 |        58 |            41 |              17
 Olympique de Marseille       | 2008/2009 |             38 |   22 |    11 |      5 |        67 |            35 |              32
 Olympique de Marseille       | 2009/2010 |             38 |   23 |     9 |      6 |        69 |            36 |              33
 Olympique de Marseille       | 2010/2011 |             38 |   18 |    14 |      6 |        62 |            39 |              23
 Olympique de Marseille       | 2011/2012 |             38 |   12 |    12 |     14 |        45 |            41 |               4
 Olympique de Marseille       | 2012/2013 |             38 |   21 |     8 |      9 |        42 |            36 |               6
 Olympique de Marseille       | 2013/2014 |             38 |   16 |    12 |     10 |        53 |            40 |              13
 Olympique de Marseille       | 2014/2015 |             38 |   21 |     6 |     11 |        76 |            42 |              34
 Olympique de Marseille       | 2015/2016 |             38 |   10 |    18 |     10 |        48 |            42 |               6
 Olympique Lyonnais           | 2008/2009 |             38 |   20 |    11 |      7 |        52 |            29 |              23
 Olympique Lyonnais           | 2009/2010 |             38 |   20 |    12 |      6 |        64 |            38 |              26
 Olympique Lyonnais           | 2010/2011 |             38 |   17 |    13 |      8 |        61 |            40 |              21
 Olympique Lyonnais           | 2011/2012 |             38 |   19 |     7 |     12 |        64 |            51 |              13
 Olympique Lyonnais           | 2012/2013 |             38 |   19 |    10 |      9 |        61 |            38 |              23
 Olympique Lyonnais           | 2013/2014 |             38 |   17 |    10 |     11 |        56 |            44 |              12
 Olympique Lyonnais           | 2014/2015 |             38 |   22 |     9 |      7 |        72 |            33 |              39
 Olympique Lyonnais           | 2015/2016 |             38 |   19 |     8 |     11 |        67 |            43 |              24
 Oud-Heverlee Leuven          | 2011/2012 |             30 |    7 |     8 |     15 |        38 |            58 |             -20
 Oud-Heverlee Leuven          | 2012/2013 |             30 |    8 |    12 |     10 |        46 |            51 |              -5
 Oud-Heverlee Leuven          | 2015/2016 |             30 |    7 |     8 |     15 |        42 |            53 |             -11
 P. Warszawa                  | 2008/2009 |             30 |   15 |     9 |      6 |        40 |            23 |              17
 P. Warszawa                  | 2009/2010 |             30 |    9 |     6 |     15 |        25 |            38 |             -13
 P. Warszawa                  | 2010/2011 |             30 |   12 |     8 |     10 |        41 |            26 |              15
 P. Warszawa                  | 2011/2012 |             30 |   13 |     6 |     11 |        33 |            32 |               1
 P. Warszawa                  | 2012/2013 |             30 |   11 |     9 |     10 |        45 |            34 |              11
 Palermo                      | 2008/2009 |             38 |   17 |     6 |     15 |        57 |            50 |               7
 Palermo                      | 2009/2010 |             38 |   18 |    11 |      9 |        59 |            47 |              12
 Palermo                      | 2010/2011 |             38 |   17 |     5 |     16 |        58 |            63 |              -5
 Palermo                      | 2011/2012 |             38 |   11 |    10 |     17 |        52 |            62 |             -10
 Palermo                      | 2012/2013 |             38 |    6 |    14 |     18 |        34 |            54 |             -20
 Palermo                      | 2014/2015 |             38 |   12 |    13 |     13 |        53 |            55 |              -2
 Palermo                      | 2015/2016 |             38 |   10 |     9 |     19 |        38 |            65 |             -27
 Paris Saint-Germain          | 2008/2009 |             38 |   19 |     7 |     12 |        49 |            38 |              11
 Paris Saint-Germain          | 2009/2010 |             38 |   12 |    11 |     15 |        50 |            46 |               4
 Paris Saint-Germain          | 2010/2011 |             38 |   15 |    15 |      8 |        56 |            41 |              15
 Paris Saint-Germain          | 2011/2012 |             38 |   23 |    10 |      5 |        75 |            41 |              34
 Paris Saint-Germain          | 2012/2013 |             38 |   25 |     8 |      5 |        69 |            23 |              46
 Paris Saint-Germain          | 2013/2014 |             38 |   27 |     8 |      3 |        84 |            23 |              61
 Paris Saint-Germain          | 2014/2015 |             38 |   24 |    11 |      3 |        83 |            36 |              47
 Paris Saint-Germain          | 2015/2016 |             38 |   30 |     6 |      2 |       102 |            19 |              83
 Parma                        | 2009/2010 |             38 |   14 |    10 |     14 |        46 |            51 |              -5
 Parma                        | 2010/2011 |             38 |   11 |    13 |     14 |        39 |            47 |              -8
 Parma                        | 2011/2012 |             36 |   15 |     9 |     12 |        51 |            50 |               1
 Parma                        | 2012/2013 |             38 |   13 |    10 |     15 |        45 |            46 |              -1
 Parma                        | 2013/2014 |             38 |   15 |    13 |     10 |        58 |            46 |              12
 Parma                        | 2014/2015 |             38 |    6 |     8 |     24 |        33 |            75 |             -42
 Partick Thistle F.C.         | 2013/2014 |             38 |    8 |    14 |     16 |        46 |            65 |             -19
 Partick Thistle F.C.         | 2014/2015 |             38 |   12 |    10 |     16 |        48 |            44 |               4
 Partick Thistle F.C.         | 2015/2016 |             38 |   12 |    10 |     16 |        41 |            50 |              -9
 PEC Zwolle                   | 2012/2013 |             34 |   10 |     9 |     15 |        42 |            55 |             -13
 PEC Zwolle                   | 2013/2014 |             34 |    9 |    13 |     12 |        47 |            49 |              -2
 PEC Zwolle                   | 2014/2015 |             34 |   16 |     5 |     13 |        59 |            43 |              16
 PEC Zwolle                   | 2015/2016 |             34 |   14 |     6 |     14 |        56 |            54 |               2
 Pescara                      | 2012/2013 |             38 |    6 |     4 |     28 |        27 |            84 |             -57
 Piast Gliwice                | 2008/2009 |             30 |    9 |     6 |     15 |        17 |            26 |              -9
 Piast Gliwice                | 2009/2010 |             30 |    7 |     6 |     17 |        30 |            50 |             -20
 Piast Gliwice                | 2012/2013 |             30 |   13 |     7 |     10 |        41 |            41 |               0
 Piast Gliwice                | 2013/2014 |             30 |    8 |    10 |     12 |        29 |            47 |             -18
 Piast Gliwice                | 2014/2015 |             30 |   11 |     6 |     13 |        38 |            43 |              -5
 Piast Gliwice                | 2015/2016 |             30 |   17 |     7 |      6 |        49 |            36 |              13
 Podbeskidzie Bielsko-Biała   | 2011/2012 |             30 |    9 |     8 |     13 |        26 |            39 |             -13
 Podbeskidzie Bielsko-Biała   | 2012/2013 |             30 |    8 |     8 |     14 |        39 |            43 |              -4
 Podbeskidzie Bielsko-Biała   | 2013/2014 |             30 |    6 |    13 |     11 |        27 |            39 |             -12
 Podbeskidzie Bielsko-Biała   | 2014/2015 |             30 |   10 |     9 |     11 |        40 |            48 |              -8
 Podbeskidzie Bielsko-Biała   | 2015/2016 |             30 |    9 |    11 |     10 |        37 |            46 |              -9
 Pogoń Szczecin               | 2012/2013 |             30 |   10 |     5 |     15 |        29 |            39 |             -10
 Pogoń Szczecin               | 2013/2014 |             30 |   11 |    14 |      5 |        47 |            38 |               9
 Pogoń Szczecin               | 2014/2015 |             30 |   11 |     8 |     11 |        40 |            38 |               2
 Pogoń Szczecin               | 2015/2016 |             30 |   10 |    16 |      4 |        36 |            30 |               6
 Polonia Bytom                | 2008/2009 |             60 |   17 |    13 |     30 |        50 |            79 |             -29
 Polonia Bytom                | 2009/2010 |             30 |    9 |    10 |     11 |        29 |            31 |              -2
 Polonia Bytom                | 2010/2011 |             60 |   19 |    15 |     26 |        65 |            85 |             -20
 Polonia Bytom                | 2011/2012 |             30 |   11 |     9 |     10 |        36 |            30 |               6
 Polonia Bytom                | 2012/2013 |             30 |   12 |     7 |     11 |        35 |            31 |               4
 Polonia Bytom                | 2013/2014 |             30 |   11 |     9 |     10 |        42 |            46 |              -4
 Polonia Bytom                | 2014/2015 |             30 |   11 |    10 |      9 |        43 |            43 |               0
 Polonia Bytom                | 2015/2016 |             30 |    4 |    14 |     12 |        33 |            46 |             -13
 Portimonense                 | 2010/2011 |             30 |    6 |     7 |     17 |        29 |            49 |             -20
 Portsmouth                   | 2008/2009 |             38 |   10 |    11 |     17 |        38 |            57 |             -19
 Portsmouth                   | 2009/2010 |             38 |    7 |     7 |     24 |        34 |            66 |             -32
 PSV                          | 2008/2009 |             34 |   19 |     8 |      7 |        71 |            33 |              38
 PSV                          | 2009/2010 |             34 |   23 |     9 |      2 |        72 |            29 |              43
 PSV                          | 2010/2011 |             34 |   20 |     9 |      5 |        79 |            34 |              45
 PSV                          | 2011/2012 |             34 |   21 |     6 |      7 |        87 |            47 |              40
 PSV                          | 2012/2013 |             34 |   22 |     3 |      9 |       103 |            43 |              60
 PSV                          | 2013/2014 |             34 |   18 |     5 |     11 |        60 |            45 |              15
 PSV                          | 2014/2015 |             34 |   29 |     1 |      4 |        92 |            31 |              61
 PSV                          | 2015/2016 |             34 |   26 |     6 |      2 |        88 |            32 |              56
 Queens Park Rangers          | 2011/2012 |             38 |   10 |     7 |     21 |        43 |            66 |             -23
 Queens Park Rangers          | 2012/2013 |             38 |    4 |    13 |     21 |        30 |            60 |             -30
 Queens Park Rangers          | 2014/2015 |             38 |    8 |     6 |     24 |        42 |            73 |             -31
 Racing Santander             | 2008/2009 |             38 |   12 |    10 |     16 |        49 |            48 |               1
 Racing Santander             | 2009/2010 |             38 |    9 |    12 |     17 |        42 |            59 |             -17
 Racing Santander             | 2010/2011 |             38 |   12 |    10 |     16 |        41 |            56 |             -15
 Racing Santander             | 2011/2012 |             38 |    4 |    15 |     19 |        28 |            63 |             -35
 RAEC Mons                    | 2008/2009 |             34 |    3 |    10 |     21 |        31 |            57 |             -26
 RAEC Mons                    | 2011/2012 |             30 |    9 |     9 |     12 |        50 |            55 |              -5
 RAEC Mons                    | 2012/2013 |             30 |   13 |     5 |     12 |        48 |            53 |              -5
 Rangers                      | 2008/2009 |             38 |   26 |     8 |      4 |        77 |            28 |              49
 Rangers                      | 2009/2010 |             38 |   26 |     9 |      3 |        82 |            28 |              54
 Rangers                      | 2010/2011 |             38 |   30 |     3 |      5 |        88 |            29 |              59
 Rangers                      | 2011/2012 |             38 |   26 |     5 |      7 |        77 |            28 |              49
 Rayo Vallecano               | 2011/2012 |             38 |   13 |     4 |     21 |        53 |            73 |             -20
 Rayo Vallecano               | 2012/2013 |             38 |   16 |     5 |     17 |        50 |            66 |             -16
 Rayo Vallecano               | 2013/2014 |             38 |   13 |     4 |     21 |        46 |            80 |             -34
 Rayo Vallecano               | 2014/2015 |             38 |   15 |     4 |     19 |        46 |            68 |             -22
 Rayo Vallecano               | 2015/2016 |             38 |    9 |    11 |     18 |        52 |            73 |             -21
 RC Celta de Vigo             | 2012/2013 |             38 |   10 |     7 |     21 |        37 |            52 |             -15
 RC Celta de Vigo             | 2013/2014 |             38 |   14 |     7 |     17 |        49 |            54 |              -5
 RC Celta de Vigo             | 2014/2015 |             38 |   13 |    12 |     13 |        47 |            44 |               3
 RC Celta de Vigo             | 2015/2016 |             38 |   17 |     9 |     12 |        51 |            59 |              -8
 RC Deportivo de La Coruña    | 2008/2009 |             38 |   16 |    10 |     12 |        48 |            47 |               1
 RC Deportivo de La Coruña    | 2009/2010 |             38 |   13 |     8 |     17 |        35 |            49 |             -14
 RC Deportivo de La Coruña    | 2010/2011 |             38 |   10 |    13 |     15 |        31 |            47 |             -16
 RC Deportivo de La Coruña    | 2012/2013 |             38 |    8 |    11 |     19 |        47 |            70 |             -23
 RC Deportivo de La Coruña    | 2014/2015 |             38 |    7 |    14 |     17 |        35 |            60 |             -25
 RC Deportivo de La Coruña    | 2015/2016 |             38 |    8 |    18 |     12 |        45 |            61 |             -16
 RC Lens                      | 2009/2010 |             38 |   12 |    12 |     14 |        40 |            44 |              -4
 RC Lens                      | 2010/2011 |             38 |    7 |    14 |     17 |        35 |            58 |             -23
 RC Lens                      | 2014/2015 |             38 |    7 |     8 |     23 |        32 |            61 |             -29
 RC Recreativo                | 2008/2009 |             38 |    8 |     9 |     21 |        34 |            57 |             -23
 RCD Espanyol                 | 2008/2009 |             38 |   12 |    11 |     15 |        46 |            49 |              -3
 RCD Espanyol                 | 2009/2010 |             38 |   11 |    11 |     16 |        29 |            46 |             -17
 RCD Espanyol                 | 2010/2011 |             38 |   15 |     4 |     19 |        46 |            55 |              -9
 RCD Espanyol                 | 2011/2012 |             38 |   12 |    10 |     16 |        46 |            56 |             -10
 RCD Espanyol                 | 2012/2013 |             38 |   11 |    11 |     16 |        43 |            52 |              -9
 RCD Espanyol                 | 2013/2014 |             38 |   11 |     9 |     18 |        41 |            51 |             -10
 RCD Espanyol                 | 2014/2015 |             38 |   13 |    10 |     15 |        47 |            51 |              -4
 RCD Espanyol                 | 2015/2016 |             38 |   12 |     7 |     19 |        40 |            74 |             -34
 RCD Mallorca                 | 2008/2009 |             38 |   14 |     9 |     15 |        53 |            60 |              -7
 RCD Mallorca                 | 2009/2010 |             38 |   18 |     8 |     12 |        59 |            44 |              15
 RCD Mallorca                 | 2010/2011 |             38 |   12 |     8 |     18 |        41 |            56 |             -15
 RCD Mallorca                 | 2011/2012 |             38 |   14 |    10 |     14 |        42 |            46 |              -4
 RCD Mallorca                 | 2012/2013 |             38 |    9 |     9 |     20 |        43 |            72 |             -29
 Reading                      | 2012/2013 |             38 |    6 |    10 |     22 |        43 |            73 |             -30
