 player_id |        player_name         | team_id |         team_name         |  season   | player_goals | team_total_goals | share_pct 
    166648 | Carlos Bacca               |    8564 | Milan                     | 2015/2016 |           19 |               54 |      35.2
     40636 | Luis Suarez                |    8634 | FC Barcelona              | 2015/2016 |           42 |              120 |      35.0
     30893 | Cristiano Ronaldo          |    8633 | Real Madrid CF            | 2012/2013 |           35 |              100 |      35.0
     31092 | Chu-Young Park             |    9829 | AS Monaco                 | 2010/2011 |            7 |               20 |      35.0
     27556 | Patrick Helmes             |    8178 | Bayer 04 Leverkusen       | 2008/2009 |           21 |               60 |      35.0
     26332 | Moussa Sow                 |    8639 | LOSC Lille                | 2010/2011 |           15 |               43 |      34.9
     30909 | David Villa                |   10267 | Valencia CF               | 2009/2010 |           22 |               63 |      34.9
     39987 | Loic Remy                  |   10261 | Newcastle United          | 2013/2014 |           15 |               43 |      34.9
     30893 | Cristiano Ronaldo          |    8633 | Real Madrid CF            | 2015/2016 |           39 |              112 |      34.8
     27478 | Alexander Meier            |    9810 | Eintracht Frankfurt       | 2012/2013 |           16 |               46 |      34.8
     36389 | Srdjan Lakic               |    8350 | 1. FC Kaiserslautern      | 2010/2011 |           17 |               49 |      34.7
     27733 | Barreto                    |    9976 | Bari                      | 2009/2010 |           18 |               52 |      34.6
     27326 | Mario Gomez                |    9823 | FC Bayern Munich          | 2011/2012 |           27 |               78 |      34.6
     33030 | Fernando Llorente          |    8315 | Athletic Club de Bilbao   | 2011/2012 |           18 |               52 |      34.6
     33989 | Frederic Kanoute           |    8302 | Sevilla FC                | 2008/2009 |           20 |               58 |      34.5
    181276 | Romelu Lukaku              |    8668 | Everton                   | 2015/2016 |           20 |               58 |      34.5
    109121 | Alberto Paloschi           |    8533 | Chievo Verona             | 2014/2015 |           11 |               32 |      34.4
    214426 | Danny Ings                 |    8191 | Burnley                   | 2014/2015 |           11 |               32 |      34.4
     40636 | Luis Suarez                |    8650 | Liverpool                 | 2012/2013 |           24 |               70 |      34.3
     15403 | Edin Dzeko                 |    8721 | VfL Wolfsburg             | 2009/2010 |           23 |               67 |      34.3
     30829 | Wayne Rooney               |   10260 | Manchester United         | 2009/2010 |           27 |               79 |      34.2
     38550 | Jose Javier Barkero        |    8388 | CD Numancia               | 2008/2009 |           13 |               38 |      34.2
    213653 | Charles                    |    9864 | Málaga CF                 | 2015/2016 |           15 |               44 |      34.1
     30981 | Lionel Messi               |    8634 | FC Barcelona              | 2009/2010 |           35 |              103 |      34.0
    364520 | Domenico Berardi           |    7943 | Sassuolo                  | 2013/2014 |           16 |               47 |      34.0
    360559 | Hakim Ziyech               |    8611 | FC Twente                 | 2015/2016 |           18 |               53 |      34.0
    143365 | Wilfried Bony              |   10003 | Swansea City              | 2013/2014 |           16 |               47 |      34.0
    200917 | Borja Baston               |    8372 | SD Eibar                  | 2015/2016 |           18 |               53 |      34.0
     38460 | Diego Forlan               |    9906 | Atlético Madrid           | 2009/2010 |           20 |               59 |      33.9
     30981 | Lionel Messi               |    8634 | FC Barcelona              | 2010/2011 |           32 |               95 |      33.7
    171091 | Moritz Hartmann            |    8234 | FC Ingolstadt 04          | 2015/2016 |           12 |               36 |      33.3
    282770 | Mauro Icardi               |    8636 | Inter                     | 2015/2016 |           17 |               51 |      33.3
     33418 | Djibril Cisse              |    8472 | Sunderland                | 2008/2009 |           12 |               36 |      33.3
     35411 | Demba Ba                   |   10261 | Newcastle United          | 2011/2012 |           18 |               54 |      33.3
     20645 | Mike Havenaar              |   10217 | ADO Den Haag              | 2015/2016 |           16 |               48 |      33.3
     38920 | Cyril Thereau              |    8600 | Udinese                   | 2015/2016 |           13 |               39 |      33.3
     31906 | Salomon Kalou              |    8177 | Hertha BSC Berlin         | 2015/2016 |           14 |               42 |      33.3
     30709 | Luca Toni                  |    9876 | Hellas Verona             | 2013/2014 |           21 |               63 |      33.3
     27734 | Antonio Di Natale          |    8600 | Udinese                   | 2014/2015 |           15 |               45 |      33.3
     32747 | Fabrizio Miccoli           |    8540 | Palermo                   | 2009/2010 |           20 |               60 |      33.3
     27430 | Dimitar Berbatov           |    9879 | Fulham                    | 2012/2013 |           15 |               45 |      33.3
     41394 | Marco Rigoni               |    6269 | Novara                    | 2011/2012 |           12 |               36 |      33.3
     46469 | Olivier Giroud             |   10249 | Montpellier Hérault SC    | 2011/2012 |           14 |               42 |      33.3
    150770 | Miku                       |    8305 | Getafe CF                 | 2011/2012 |           12 |               36 |      33.3
     18734 | Dario Cvitanich            |    9831 | OGC Nice                  | 2012/2013 |           19 |               57 |      33.3
     31921 | Gareth Bale                |    8586 | Tottenham Hotspur         | 2012/2013 |           22 |               66 |      33.3
    202443 | Vincent Aboubakar          |    8689 | FC Lorient                | 2013/2014 |           16 |               48 |      33.3
     38755 | Ricardo Fuller             |   10194 | Stoke City                | 2008/2009 |           14 |               42 |      33.3
     30536 | Lisandro Lopez             |    9748 | Olympique Lyonnais        | 2010/2011 |           13 |               39 |      33.3
    134221 | Mustapha Yatabare          |    9747 | En Avant de Guingamp      | 2013/2014 |           11 |               33 |      33.3
     34531 | Bernardo Corradi           |    8690 | Reggio Calabria           | 2008/2009 |           10 |               30 |      33.3
     38699 | Giuseppe Rossi             |   10205 | Villarreal CF             | 2010/2011 |           18 |               54 |      33.3
    102619 | Mario Bermejo              |    9868 | Xerez Club Deportivo      | 2009/2010 |           12 |               36 |      33.3
    210184 | Wissam Ben Yedder          |    9941 | Toulouse FC               | 2014/2015 |           15 |               45 |      33.3
    150565 | Pierre-Emerick Aubameyang  |    9853 | AS Saint-Étienne          | 2011/2012 |           12 |               36 |      33.3
     41240 | Gregory Pujol              |    9873 | Valenciennes FC           | 2010/2011 |           10 |               30 |      33.3
    150565 | Pierre-Emerick Aubameyang  |    9853 | AS Saint-Étienne          | 2012/2013 |           19 |               57 |      33.3
     15403 | Edin Dzeko                 |    8721 | VfL Wolfsburg             | 2008/2009 |           26 |               79 |      32.9
     37412 | Sergio Aguero              |    8456 | Manchester City           | 2015/2016 |           25 |               76 |      32.9
     33030 | Fernando Llorente          |    8315 | Athletic Club de Bilbao   | 2010/2011 |           20 |               61 |      32.8
     31199 | Stefan Kiessling           |    8178 | Bayer 04 Leverkusen       | 2009/2010 |           21 |               64 |      32.8
     46349 | Max-Alain Gradel           |    9853 | AS Saint-Étienne          | 2014/2015 |           18 |               55 |      32.7
     96652 | Ruben Castro               |    8603 | Real Betis Balompié       | 2011/2012 |           16 |               49 |      32.7
    364520 | Domenico Berardi           |    7943 | Sassuolo                  | 2014/2015 |           16 |               49 |      32.7
     30348 | Jermain Defoe              |    8472 | Sunderland                | 2015/2016 |           15 |               46 |      32.6
     30284 | Massimo Maccarone          |    8534 | Empoli                    | 2015/2016 |           14 |               43 |      32.6
    199834 | Remy Cabella               |   10249 | Montpellier Hérault SC    | 2013/2014 |           15 |               46 |      32.6
     36774 | Adam Szalai                |    9905 | 1. FSV Mainz 05           | 2012/2013 |           15 |               46 |      32.6
     30843 | Robin van Persie           |   10260 | Manchester United         | 2012/2013 |           28 |               86 |      32.6
    183530 | Andy Delort                |    7819 | SM Caen                   | 2015/2016 |           13 |               40 |      32.5
     30655 | Raul                       |   10189 | FC Schalke 04             | 2010/2011 |           13 |               40 |      32.5
     24456 | Simone Tiribocchi          |    9888 | Lecce                     | 2008/2009 |           12 |               37 |      32.4
    174472 | Iago Aspas                 |    9910 | RC Celta de Vigo          | 2012/2013 |           12 |               37 |      32.4
     95094 | Sascha Moelders            |    8406 | FC Augsburg               | 2012/2013 |           11 |               34 |      32.4
    160906 | Tom van Weert              |   10218 | Excelsior                 | 2015/2016 |           11 |               34 |      32.4
    119839 | Danijel Aleksic            |   10190 | FC St. Gallen             | 2015/2016 |            9 |               28 |      32.1
     70409 | Javier Hernandez           |    8178 | Bayer 04 Leverkusen       | 2015/2016 |           17 |               53 |      32.1
    181276 | Romelu Lukaku              |    8659 | West Bromwich Albion      | 2012/2013 |           18 |               56 |      32.1
     37429 | Nene                       |    9847 | Paris Saint-Germain       | 2011/2012 |           17 |               53 |      32.1
     30249 | Kevin Kuranyi              |   10189 | FC Schalke 04             | 2009/2010 |           18 |               56 |      32.1
     35724 | Zlatan Ibrahimovic         |    9847 | Paris Saint-Germain       | 2013/2014 |           27 |               84 |      32.1
    107417 | Eden Hazard                |    8639 | LOSC Lille                | 2011/2012 |           16 |               50 |      32.0
     33639 | Samuel Eto'o               |    8636 | Inter                     | 2010/2011 |           22 |               69 |      31.9
     93471 | Bruno Grougi               |    8521 | Stade Brestois 29         | 2011/2012 |            7 |               22 |      31.8
     32749 | Marco Di Vaio              |    9857 | Bologna                   | 2009/2010 |           13 |               41 |      31.7
     39447 | Marco Borriello            |   10233 | Genoa                     | 2012/2013 |           13 |               41 |      31.7
    303059 | Bertrand Traore            |    8277 | Vitesse                   | 2014/2015 |           12 |               38 |      31.6
     37554 | Guillaume Hoarau           |   10192 | BSC Young Boys            | 2015/2016 |           17 |               54 |      31.5
     26392 | Kevin Gameiro              |    8302 | Sevilla FC                | 2015/2016 |           17 |               54 |      31.5
     37412 | Sergio Aguero              |    8456 | Manchester City           | 2014/2015 |           27 |               86 |      31.4
    169193 | Alexandre Lacazette        |    9748 | Olympique Lyonnais        | 2015/2016 |           22 |               70 |      31.4
    303926 | Luciano Slagveer           |   10228 | SC Heerenveen             | 2014/2015 |           11 |               35 |      31.4
    112471 | Erik Falkenburg            |    8525 | Willem II                 | 2015/2016 |           11 |               35 |      31.4
     75310 | Alvaro Negredo             |    8302 | Sevilla FC                | 2011/2012 |           16 |               51 |      31.4
     34082 | Marco Schneuwly            |   10199 | FC Luzern                 | 2015/2016 |           11 |               35 |      31.4
